"id","address","city","state","zip","retailer_id","lat","long"
227491,"8770 Wadsworth Blvd","Arvada","CO",80003,115,39.8557,-105.08
36763,"8799 WASHINGTON ST","Thornton","CO",80229,5,39.8558,-104.979
183258,"8797 Wadsworth Blvd.","Arvada","CO",80003,104,39.8559,-105.082
53886,"2500 E 88TH AVENUE","THORNTON","CO",80229,28,39.8561,-104.955
56528,"8820 N COLORADO BLVD","THORNTON","CO",80229,28,39.8562,-104.94
68943,"831 E 88th Ave","Thornton","CO",80229,35,39.8563,-104.976
164043,"5650 W. 88TH AVENUE","WESTMINSTER","CO",80030,93,39.8564,-105.059
53552,"1066 EAST 88TH AVE.","THORNTON","CO",80229,28,39.8564,-104.973
148379,"7475 W 88th Ave","Westminster","CO",80021,78,39.8565,-105.08
145102,"7125 W 88th Ave","Westminster","CO",80021,79,39.8566,-105.076
52414,"8801 HURON ST","THORNTON","CO",80221,28,39.8572,-104.998
178228,"8500 Pena Blvd, Concourse B","Denver","CO",80249,100,39.8589,-104.674
91491,"6400 West 92nd Avenue","Westminster","CO",80031,46,39.862,-105.066
192341,"5076 W 92nd Ave","Westminster","CO",80031,106,39.8629,-105.052
70534,"2010 W 92nd Ave","Federal Heights","CO",80260,35,39.8632,-105.011
51908,"1600 WEST 92ND AVE","FEDERAL HEIGHTS","CO",80221,28,39.8632,-105.007
140353,"15240 W. 64th Avenue","Arvada","CO",80007,75,39.8634,-105.172
53414,"9201 FEDERAL BLVD","WESTMINSTER","CO",80221,28,39.8639,-105.026
210769,"9213 Huron Street","Thornton","CO",80260,106,39.8646,-104.997
91250,"9229 N. Sheridan Blvd.","Westminster","CO",80031,48,39.8651,-105.055
239814,"9269 Sheridan Blvd.","Westminster","CO",80031,121,39.8658,-105.053
164275,"9330 SHERIDAN BOULEVARD","WESTMINSTER","CO",80030,94,39.8662,-105.053
134165,"666 East 104th Avenue","Northglenn","CO",80229,75,39.8671,-104.923
138491,"301 West 84th Street","Thornton","CO",80260,75,39.8672,-105.004
160234,"9369 Sheridan Blvd Wesfield Village Center","Westminster,","CO",80030,84,39.8672,-105.055
225714,"9379 Sheridan Blvd","Westminster","CO",80031,105,39.8676,-105.053
73198,"9410 Federal Boulevard","Federal Heights","CO",80260,35,39.8676,-105.025
229907,"9392 Sheridan Blvd.","Westminster","CO",80030,116,39.8678,-105.053
34021,"9499 Sheridan Blvd","Westminster","CO",80031,4,39.868,-105.054
17006,"771 Thornton Pkwy","Thornton","CO",80229,2,39.8708,-104.976
183661,"815 Thornton Parkway","Thornton","CO",80229,104,39.8708,-104.977
89246,"9601 Grant St","Thornton","CO",80229,47,39.8722,-104.984
158567,"6735 W. 88TH AVE","WESTMINSTER","CO",80031,83,39.8753,-105.035
1486,"9901 Grant St","Thornton","CO",80229,4,39.8758,-104.986
221335,"10001 GRANT DRIVE","THORNTON","CO",80229,109,39.8761,-104.985
9546,"9983 Wadsworth Pkwy","Westminster","CO",80030,1,39.877,-105.095
36504,"9970 WADSWORTH PKWY","Westminster","CO",80021,5,39.8777,-105.095
191807,"9987 Wadsworth Parkway","Westminster","CO",80021,106,39.8778,-105.098
225605,"10018 Grant Street","Thornton","CO",80229,105,39.8781,-104.984
21096,"8543 Church Ranch Blvd","Westminster","CO",80021,2,39.8786,-105.093
230226,"NW Center Core","Denver","CO",80249,116,39.8787,-104.682
145088,"10003 Grant Street","Denver","CO",80229,79,39.8792,-104.984
24078,"10128 N WADSWORTH","WESTMINSTER","CO",80021,28,39.88,-105.096
186750,"10343 N Federal Blvd","Westminster","CO",80260,106,39.8823,-105.027
14597,"10351 Federal Blvd","Westminster","CO",80260,1,39.8833,-105.027
160842,"104 W 104th Ave","Denver,","CO",80234,84,39.8836,-104.988
3174,"10300 Federal Blvd","Federal Heights","CO",80260,2,39.8836,-105.025
183255,"10320 Federal Blvd.","Federal Heights","CO",80260,104,39.8839,-105.025
39143,"10337 WASHINGTON ST","Thornton","CO",80229,5,39.8839,-104.978
179084,"10355 FEDERAL BLVD STE #E","WESTMINSTER","CO",80260,83,39.8839,-105.027
10053,"750 E 104th Ave Unit A","Thornton","CO",80233,1,39.8841,-104.977
192719,"10376 N Colorado Blvd","Thornton","CO",80229,106,39.8843,-104.94
